##     smoothed_volume = gaussian_filter(volume.astype(np.float32), sigma=(4, 1, 1)) ##

Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000068,0.177,0.177,0.7285,0.3314
case000069,0.1869,0.1869,0.7179,0.3488
Average,0.18919999999999998,0.18919999999999998,0.91622,0.34464

Case,ASD(mm),CD(mm),HD(mm),HD95(mm)
case000065,0.1947,0.1947,0.7307,0.3659
case000066,0.208,0.208,1.7211,0.3509
case000067,0.1792,0.1792,0.7367,0.3261
case000068,0.177,0.177,0.6736,0.3314
case000069,0.1873,0.1873,0.6428,0.3505
Average,0.18924,0.18924,0.90098,0.34496

